Sample.Num.Overall,Sample.Num.Spp,Year.1,Year.2,Location,Spp,Stage,ID.3,Island,Date.Sample,JulianDate.Sample,Use.Ad.Data,delta.15.N,delta.13.C
278,58,2008/2009,2,PAL,GEPE,AD 1E,N16A2,BIS,11/3/2008,2008308,Yes,8.6,-26.7
279,59,2008/2009,2,PAL,GEPE,AD 1E,N17A1,BIS,11/6/2008,2008311,Yes,8.5,-26.9
280,60,2008/2009,2,PAL,GEPE,AD 1E,N17A2,BIS,11/6/2008,2008311,Yes,8.7,-26.8
281,61,2008/2009,2,PAL,GEPE,AD 1E,N18A1,BIS,11/3/2008,2008308,Yes,8.7,-26.8
282,62,2008/2009,2,PAL,GEPE,AD 1E,N18A2,BIS,11/3/2008,2008308,Yes,8.6,-26.8
283,63,2008/2009,2,PAL,GEPE,AD 1E,N19A1,BIS,11/13/2008,2008318,Yes,8.6,-26.6
284,64,2008/2009,2,PAL,GEPE,AD 1E,N19A2,BIS,11/13/2008,2008318,Yes,8.5,-26.8
285,65,2008/2009,2,PAL,GEPE,AD 1E,N20A1,BIS,11/6/2008,2008311,Yes,8.6,-26.6
286,66,2008/2009,2,PAL,GEPE,AD 1E,N20A2,BIS,11/6/2008,2008311,Yes,8.5,-26.7
287,67,2008/2009,2,PAL,GEPE,AD 1E,N51A1,BIS,11/15/2008,2008320,Yes,8.2,-26.8
288,68,2008/2009,2,PAL,GEPE,AD 1E,N51A2,BIS,11/15/2008,2008320,Yes,8.5,-26.7
289,69,2008/2009,2,PAL,GEPE,AD 1E,N53A1,BIS,11/13/2008,2008318,Yes,8.6,-26.7
290,70,2008/2009,2,PAL,GEPE,AD 1E,N53A2,BIS,11/13/2008,2008318,Yes,8.6,-26.7
291,71,2008/2009,2,PAL,GEPE,AD 1E,N54A1,BIS,11/3/2008,2008308,Yes,8.5,-26.7
292,72,2008/2009,2,PAL,GEPE,AD 1E,N54A2,BIS,11/3/2008,2008308,Yes,8.4,-26.7
293,73,2008/2009,2,PAL,GEPE,AD 1E,N55A1,BIS,11/9/2008,2008314,Yes,8.2,-26.7
294,74,2008/2009,2,PAL,GEPE,AD 1E,N55A2,BIS,11/9/2008,2008314,Yes,8.6,-26.6
295,75,2008/2009,2,PAL,GEPE,AD 1E,N56A1,BIS,11/6/2008,2008311,Yes,8.5,-27
296,76,2008/2009,2,PAL,GEPE,AD 1E,N56A2,BIS,11/6/2008,2008311,Yes,8.6,-26.7
297,77,2008/2009,2,PAL,GEPE,AD 1E,N58A1,BIS,11/6/2008,2008311,Yes,8.4,-26.8
298,78,2008/2009,2,PAL,GEPE,AD 1E,N58A2,BIS,11/6/2008,2008311,Yes,8.4,-26.8
299,79,2008/2009,2,PAL,GEPE,AD 1E,N60A1,BIS,11/9/2008,2008314,Yes,8.2,-26.7
300,80,2008/2009,2,PAL,GEPE,AD 1E,N60A2,BIS,11/9/2008,2008314,Yes,8.2,-26.7
301,81,2009/2010,3,PAL,GEPE,AD 1E,N1A1,BIS,11/18/2009,2009322,Yes,8.4,-26.3
302,82,2009/2010,3,PAL,GEPE,AD 1E,N1A2,BIS,11/18/2009,2009322,Yes,8.3,-26.3
303,83,2009/2010,3,PAL,GEPE,AD 1E,N6A1,BIS,11/15/2009,2009319,Yes,8.2,-26.2
304,84,2009/2010,3,PAL,GEPE,AD 1E,N6A2,BIS,11/15/2009,2009319,Yes,8.2,-26.4
305,85,2009/2010,3,PAL,GEPE,AD 1E,N8A1,BIS,11/22/2009,2009326,Yes,8.1,-26.2
306,86,2009/2010,3,PAL,GEPE,AD 1E,N8A2,BIS,11/22/2009,2009326,Yes,8.3,-26.3
307,87,2009/2010,3,PAL,GEPE,AD 1E,N13A1,BIS,11/20/2009,2009324,Yes,8.2,-26.2
308,88,2009/2010,3,PAL,GEPE,AD 1E,N13A2,BIS,11/20/2009,2009324,Yes,8.2,-26.3
309,89,2009/2010,3,PAL,GEPE,AD 1E,N14A1,BIS,11/25/2009,2009329,Yes,8.1,-26.2
310,90,2009/2010,3,PAL,GEPE,AD 1E,N14A2,BIS,11/25/2009,2009329,Yes,8.3,-26.1
311,91,2009/2010,3,PAL,GEPE,AD 1E,N15A1,BIS,11/27/2009,2009331,Yes,8.3,-26.1
312,92,2009/2010,3,PAL,GEPE,AD 1E,N15A2,BIS,11/27/2009,2009331,Yes,8.4,-25.9
313,93,2009/2010,3,PAL,GEPE,AD 1E,N18A1,BIS,12/1/2009,2009335,Yes,8.2,-26.2
314,94,2009/2010,3,PAL,GEPE,AD 1E,N18A2,BIS,12/1/2009,2009335,Yes,8.8,-25.7
315,95,2009/2010,3,PAL,GEPE,AD 1E,N19A1,BIS,11/27/2009,2009331,Yes,8.2,-26.2
316,96,2009/2010,3,PAL,GEPE,AD 1E,N19A2,BIS,11/27/2009,2009331,Yes,8.3,-26.1
317,97,2009/2010,3,PAL,GEPE,AD 1E,N20A1,BIS,11/18/2009,2009322,Yes,8,-26.1
318,98,2009/2010,3,PAL,GEPE,AD 1E,N20A2,BIS,11/18/2009,2009322,Yes,7.9,-26
319,99,2009/2010,3,PAL,GEPE,AD 1E,N21A1,BIS,11/18/2009,2009322,Yes,8.2,-26.1
320,100,2009/2010,3,PAL,GEPE,AD 1E,N21A2,BIS,11/18/2009,2009322,Yes,8.2,-26.4
321,101,2009/2010,3,PAL,GEPE,AD 1E,N22A1,BIS,11/22/2009,2009326,Yes,8.1,-26.2
322,102,2009/2010,3,PAL,GEPE,AD 1E,N22A2,BIS,11/22/2009,2009326,Yes,8.3,-26.4
323,103,2009/2010,3,PAL,GEPE,AD 1E,N23A1,BIS,11/18/2009,2009322,Yes,8.3,-26.2
324,104,2009/2010,3,PAL,GEPE,AD 1E,N23A2,BIS,11/18/2009,2009322,Yes,8.7,-25.8
325,105,2009/2010,3,PAL,GEPE,AD 1E,N24A1,BIS,12/1/2009,2009335,Yes,8.3,-26.2
326,106,2009/2010,3,PAL,GEPE,AD 1E,N24A2,BIS,12/1/2009,2009335,Yes,8.3,-26.1
327,107,2009/2010,3,PAL,GEPE,AD 1E,N28A1,BIS,11/10/2009,2009314,Yes,8.1,-26.4
328,108,2009/2010,3,PAL,GEPE,AD 1E,N28A2,BIS,11/10/2009,2009314,Yes,8.4,-26.3
329,109,2009/2010,3,PAL,GEPE,AD 1E,N29A1,BIS,11/9/2009,2009313,Yes,8.4,-26.4
330,110,2009/2010,3,PAL,GEPE,AD 1E,N29A2,BIS,11/9/2009,2009313,Yes,8.5,-26.2
331,111,2009/2010,3,PAL,GEPE,AD 1E,N32A1,BIS,11/20/2009,2009324,Yes,8.2,-26.2
332,112,2009/2010,3,PAL,GEPE,AD 1E,N32A2,BIS,11/20/2009,2009324,Yes,8.3,-26.2
333,113,2009/2010,3,PAL,GEPE,AD 1E,N34A1,BIS,11/27/2009,2009331,Yes,8.2,-26.1
334,114,2009/2010,3,PAL,GEPE,AD 1E,N34A2,BIS,11/27/2009,2009331,Yes,8.8,-25.8
335,115,2009/2010,3,PAL,GEPE,AD 1E,N35A1,BIS,11/27/2009,2009331,Yes,8.3,-26
336,116,2009/2010,3,PAL,GEPE,AD 1E,N35A2,BIS,11/27/2009,2009331,Yes,8.1,-26.2
337,117,2009/2010,3,PAL,GEPE,AD 1E,N36A1,BIS,12/1/2009,2009335,Yes,8,-26.2
338,118,2009/2010,3,PAL,GEPE,AD 1E,N36A2,BIS,12/1/2009,2009335,Yes,8.3,-25.9
341,121,2009/2010,3,PAL,GEPE,AD 1E,N39A1,BIS,11/22/2009,2009326,Yes,8.4,-26.1
342,122,2009/2010,3,PAL,GEPE,AD 1E,N39A2,BIS,11/22/2009,2009326,Yes,8.3,-26
343,123,2009/2010,3,PAL,GEPE,AD 1E,N43A1,BIS,11/22/2009,2009326,Yes,8.2,-26.1
344,124,2009/2010,3,PAL,GEPE,AD 1E,N43A2,BIS,11/22/2009,2009326,Yes,8.4,-26.2
